time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002354,-0.2080,0.0130,-0.4110,0.461
0.002766,-0.2480,0.0320,-0.3190,0.405
0.003154,-0.2770,0.0390,-0.2570,0.380
0.004262,-0.3040,0.0200,-0.2080,0.369
0.007824,-0.3410,0.0230,-0.1550,0.375
0.009196,-0.3230,0.0010,-0.1110,0.342
0.011346,-0.3220,0.0000,-0.0790,0.332
0.013834,-0.2780,0.0260,-0.0540,0.284
0.017004,-0.2820,0.0400,-0.0320,0.287
0.019283,-0.2240,0.0280,-0.0430,0.230
0.021416,-0.1710,0.0170,0.0070,0.172
0.023923,-0.1430,0.0190,0.0080,0.144
0.026561,-0.1020,0.0410,0.0020,0.110
0.029726,-0.0880,0.0580,-0.0080,0.106
0.032354,-0.0690,0.0510,0.0030,0.086
0.033996,-0.0260,0.0390,0.0000,0.047
0.036498,-0.0030,0.0420,0.0360,0.055
0.039372,0.0050,0.0330,0.0560,0.065
0.041673,0.0210,0.0350,0.0690,0.080
0.044057,0.0660,0.0260,0.0870,0.112
0.046660,0.0540,-0.0020,0.0970,0.111
0.049395,0.0800,-0.0040,0.1170,0.142
0.051956,0.0340,-0.0060,0.1400,0.144
0.054142,0.0480,0.0080,0.1500,0.158
0.056604,0.0280,-0.0130,0.1320,0.136
0.059248,0.0450,0.0080,0.1000,0.110
0.063513,0.0300,-0.0080,0.1020,0.107
0.064167,0.0250,-0.0080,0.0920,0.096
0.066784,0.0290,-0.0070,0.0700,0.076
0.069408,0.0360,-0.0100,0.0170,0.041
0.071885,0.0260,-0.0310,-0.0190,0.045
0.075727,0.0090,-0.0740,-0.0690,0.102
0.076706,-0.0150,-0.0720,-0.0800,0.109
0.079305,-0.0410,-0.0580,-0.1040,0.126
0.081726,-0.0580,-0.0720,-0.1470,0.174
0.084671,-0.0830,-0.0960,-0.1890,0.228
0.086969,-0.0900,-0.0910,-0.2100,0.246
0.089213,-0.0260,-0.0630,-0.2150,0.226
0.091714,-0.0240,-0.0820,-0.2500,0.264
0.094976,-0.0120,-0.0890,-0.2640,0.279
0.097081,0.0220,-0.0770,-0.2700,0.282
0.099341,0.0240,-0.0870,-0.2720,0.287
0.101818,0.0300,-0.0610,-0.2620,0.271
0.104247,0.0300,-0.0610,-0.2980,0.306
0.107094,0.0800,-0.0770,-0.2520,0.275
0.109369,0.0720,-0.0680,-0.2360,0.256
0.111943,0.0360,-0.0870,-0.2330,0.251
0.114606,0.0400,-0.0630,-0.2210,0.233
0.117118,0.0090,-0.0870,-0.1880,0.207
0.119679,0.0060,-0.0650,-0.1500,0.164
0.122036,-0.0480,-0.0360,-0.1310,0.144
0.124387,-0.0530,-0.0600,-0.1460,0.167
0.127029,-0.0720,-0.0770,-0.0910,0.139
0.129865,-0.0820,-0.0580,-0.1200,0.156
0.132009,-0.0610,-0.0270,-0.1080,0.127
0.134437,-0.0370,-0.0240,-0.0940,0.104
0.136942,0.0020,-0.0120,-0.0900,0.091
0.139933,0.0310,-0.0220,-0.1210,0.127
0.142383,0.0920,-0.0070,-0.1380,0.166
0.144524,0.0990,-0.0030,-0.1850,0.210
0.147132,0.1250,0.0110,-0.1920,0.229
0.149632,0.1580,0.0280,-0.2140,0.267
0.152342,0.1120,-0.0030,-0.2540,0.278
0.154627,0.1450,-0.0240,-0.2850,0.321
0.158481,0.1380,-0.0240,-0.2610,0.296
0.160106,0.1130,-0.0100,-0.3010,0.322
0.163106,0.1060,-0.0100,-0.2930,0.312
0.165206,0.1040,-0.0360,-0.2840,0.305
0.167308,0.0750,-0.0030,-0.3070,0.316
0.169635,0.0630,-0.0080,-0.2690,0.276
0.172547,0.0440,0.0060,-0.2740,0.278
0.174896,0.0180,0.0110,-0.2500,0.251
0.177219,-0.0030,0.0420,-0.2570,0.260
0.179782,0.0280,0.0130,-0.2590,0.261
0.182147,0.0130,0.0200,-0.2640,0.265
0.184716,0.0040,0.0270,-0.2670,0.268
0.187356,0.0000,0.0130,-0.2400,0.240
0.189725,-0.0160,0.0350,-0.2310,0.234
0.192212,0.0070,0.0180,-0.2410,0.242
0.194937,-0.0190,0.0250,-0.2410,0.243
0.197305,-0.0210,0.0300,-0.2370,0.240
0.199787,-0.0110,0.0490,-0.2440,0.249
0.202254,-0.0160,0.0440,-0.2470,0.251
0.204725,-0.0130,0.0110,-0.2600,0.261
0.207585,-0.0460,0.0440,-0.2240,0.233
0.209857,-0.0530,0.0540,-0.2080,0.221
0.212285,-0.0700,0.0610,-0.1640,0.188
0.214778,-0.0980,0.0740,-0.1050,0.162
0.217702,-0.1220,0.0470,-0.0680,0.147
0.220025,-0.1600,0.0430,-0.0040,0.166
0.222370,-0.2120,0.0380,0.0340,0.218
0.224853,-0.2290,0.0190,0.0760,0.242
0.228173,-0.2170,0.0170,0.1280,0.253
0.230206,-0.1810,0.0100,0.1630,0.244
0.232480,-0.1400,0.0070,0.1380,0.197
0.234905,-0.1260,0.0000,0.1180,0.173
0.237962,-0.0410,-0.0200,0.0630,0.078
0.240293,-0.0340,0.0080,0.0150,0.038
0.242510,0.0330,-0.0080,-0.0110,0.036
0.245105,0.0450,-0.0180,-0.0920,0.104
0.248125,0.0770,-0.0220,-0.1900,0.206
0.250478,0.0860,-0.0270,-0.2580,0.273
0.252569,0.1180,0.0000,-0.3050,0.327
0.255261,0.0690,-0.0350,-0.3240,0.333
