# Target Sample Rate: 479 Hz
time,gFx,gFy,gFz,TgF
0.011785,-0.0100,0.8112,0.5673,0.99
0.018606,0.0060,0.8126,0.4784,0.94
0.027365,0.0089,0.8434,0.4842,0.97
0.031841,-0.0140,0.8180,0.4790,0.95
0.035652,-0.0227,0.8194,0.4785,0.95
0.035717,-0.0339,0.8228,0.4751,0.95
0.036787,-0.0418,0.8286,0.4741,0.96
0.039181,-0.0476,0.8340,0.4736,0.96
0.040554,-0.0516,0.8423,0.4702,0.97
0.042660,-0.0530,0.8491,0.4624,0.97
0.047523,-0.0579,0.8501,0.4604,0.97
0.047577,-0.0642,0.8452,0.4629,0.97
0.050239,-0.0681,0.8393,0.4615,0.96
0.050791,-0.0706,0.8359,0.4566,0.96
0.052734,-0.0706,0.8320,0.4561,0.95
0.055002,-0.0701,0.8276,0.4571,0.95
0.058362,-0.0711,0.8291,0.4605,0.95
0.059150,-0.0715,0.8296,0.4659,0.95
0.061071,-0.0691,0.8281,0.4717,0.96
0.063226,-0.0706,0.8296,0.4791,0.96
0.065120,-0.0690,0.8286,0.4854,0.96
0.069307,-0.0667,0.8296,0.4927,0.97
0.069357,-0.0681,0.8296,0.5039,0.97
0.071361,-0.0651,0.8301,0.5137,0.98
0.073394,-0.0622,0.8291,0.5263,0.98
0.075619,-0.0593,0.8277,0.5361,0.99
0.077704,-0.0563,0.8267,0.5449,0.99
0.082423,-0.0505,0.8223,0.5536,0.99
0.082497,-0.0485,0.8223,0.5585,1.00
0.083819,-0.0441,0.8198,0.5624,1.00
0.087917,-0.0226,0.8126,0.5507,0.98
0.092236,-0.0241,0.8101,0.5702,0.99
0.096609,-0.0241,0.7979,0.5683,0.98
0.098287,-0.0197,0.7994,0.5615,0.98
0.104228,-0.0197,0.8014,0.5580,0.98
0.106576,-0.0153,0.8043,0.5449,0.97
0.108814,-0.0115,0.8043,0.5409,0.97
0.110744,-0.0095,0.8004,0.5375,0.96
0.114173,-0.0075,0.7980,0.5351,0.96
0.115111,-0.0065,0.7960,0.5326,0.96
0.116948,-0.0056,0.7956,0.5312,0.96
0.119275,-0.0056,0.7941,0.5302,0.95
0.121166,-0.0060,0.7941,0.5312,0.96
0.125781,-0.0061,0.7965,0.5273,0.96
0.125878,-0.0056,0.7956,0.5264,0.95
0.127216,-0.0051,0.7990,0.5243,0.96
0.129330,-0.0071,0.7990,0.5234,0.96
0.131337,-0.0100,0.8014,0.5258,0.96
0.135965,-0.0129,0.7999,0.5268,0.96
0.136022,-0.0154,0.8018,0.5312,0.96
0.137613,-0.0164,0.8038,0.5297,0.96
0.139721,-0.0168,0.8043,0.5181,0.96
0.141913,-0.0173,0.8077,0.5160,0.96
0.157070,-0.0276,0.8116,0.5312,0.97
0.161562,-0.0441,0.8052,0.5478,0.97
0.161674,-0.0500,0.8047,0.5435,0.97
0.164484,-0.0549,0.8052,0.5464,0.97
0.170935,-0.0544,0.8037,0.5459,0.97
0.173081,-0.0656,0.8028,0.5503,0.98
0.175650,-0.0665,0.8042,0.5503,0.98
0.177158,-0.0651,0.8072,0.5537,0.98
0.180555,-0.0607,0.8086,0.5557,0.98
0.183424,-0.0534,0.8135,0.5786,1.00
0.185378,-0.0500,0.8106,0.5854,1.00
0.187453,-0.0504,0.8072,0.5922,1.00
0.192141,-0.0534,0.8028,0.5937,1.00
0.196099,-0.0392,0.8067,0.5722,0.99
0.198326,-0.0353,0.8038,0.5781,0.99
0.199965,-0.0295,0.8004,0.5844,0.99
0.203967,-0.0275,0.8009,0.5805,0.99
0.204166,-0.0217,0.8033,0.5722,0.99
0.206114,-0.0173,0.8023,0.5692,0.98
0.208656,-0.0051,0.8024,0.5599,0.98
0.210304,-0.0046,0.8039,0.5541,0.98
0.215111,-0.0032,0.8019,0.5546,0.97
0.218681,-0.0027,0.8092,0.5380,0.97
0.221061,-0.0051,0.8112,0.5355,0.97
0.226377,-0.0056,0.8078,0.5268,0.96
0.228919,-0.0149,0.7970,0.5049,0.94
