# Target Sample Rate: 479 Hz
time,gFx,gFy,gFz,TgF
0.012431,0.0568,0.6536,0.7446,0.99
0.019966,-0.0062,0.6412,0.5576,0.85
0.022280,-0.0244,0.6656,0.4781,0.82
0.030568,-0.0278,0.6739,0.4654,0.82
0.032710,-0.0294,0.7120,0.4574,0.85
0.043253,-0.0284,0.7291,0.4798,0.87
0.050574,-0.0211,0.7755,0.5781,0.97
0.052929,-0.0084,0.7858,0.6283,1.01
0.055006,-0.0070,0.7877,0.6395,1.01
0.061470,-0.0040,0.7877,0.6507,1.02
0.065376,0.0023,0.7799,0.6819,1.04
0.067347,0.0062,0.7756,0.6902,1.04
0.072078,0.0063,0.7702,0.7034,1.04
0.075988,0.0204,0.7492,0.7366,1.05
0.077868,0.0225,0.7419,0.7498,1.06
0.083520,0.0210,0.7370,0.7620,1.06
0.086045,0.0235,0.7185,0.7879,1.07
0.088211,0.0235,0.7131,0.7894,1.06
0.090220,0.0220,0.7082,0.7928,1.06
0.094311,0.0225,0.7038,0.7928,1.06
0.094386,0.0221,0.6975,0.7938,1.06
0.096377,0.0206,0.6945,0.7890,1.05
0.098641,0.0192,0.6911,0.7880,1.05
0.100543,0.0177,0.6872,0.7822,1.04
0.107222,0.0250,0.6799,0.7734,1.03
0.110774,0.0065,0.6809,0.7588,1.02
0.117409,0.0016,0.6823,0.7559,1.02
0.121173,-0.0062,0.6881,0.7296,1.00
0.123204,-0.0048,0.6891,0.7198,1.00
0.127142,-0.0072,0.6920,0.7135,0.99
0.127415,-0.0092,0.6950,0.7047,0.99
0.129465,-0.0096,0.6979,0.6954,0.99
0.131757,-0.0131,0.7018,0.6900,0.98
0.133769,-0.0170,0.7052,0.6837,0.98
0.139003,-0.0195,0.7096,0.6807,0.98
0.142118,-0.0346,0.7213,0.6690,0.98
0.144227,-0.0380,0.7218,0.6661,0.98
0.146250,-0.0410,0.7237,0.6647,0.98
0.150311,-0.0424,0.7247,0.6627,0.98
0.150530,-0.0458,0.7261,0.6642,0.99
0.154346,-0.0478,0.7251,0.6657,0.99
0.154723,-0.0483,0.7246,0.6681,0.99
0.156860,-0.0517,0.7251,0.6715,0.99
0.161573,-0.0512,0.7232,0.6759,0.99
0.161659,-0.0502,0.7227,0.6779,0.99
0.162830,-0.0487,0.7217,0.6846,1.00
0.165004,-0.0487,0.7217,0.6910,1.00
0.166999,-0.0453,0.7188,0.6949,1.00
0.172491,-0.0404,0.7188,0.6993,1.00
0.175250,-0.0263,0.7164,0.7109,1.01
