# Target Sample Rate: 479 Hz
time,gFx,gFy,gFz,TgF
0.003008,-0.0375,0.6767,0.5869,0.90
0.003069,-0.0571,0.6766,0.5553,0.88
0.007673,-0.0746,0.6747,0.5314,0.86
0.007724,-0.0805,0.6663,0.5047,0.84
0.009789,-0.0858,0.6668,0.4832,0.83
0.011374,-0.0946,0.6658,0.4701,0.82
0.021287,-0.1000,0.6638,0.4589,0.81
0.023858,-0.0864,0.6912,0.4329,0.82
0.027954,-0.0879,0.7034,0.4563,0.84
0.028023,-0.0869,0.7137,0.4753,0.86
0.030010,-0.0850,0.7274,0.4927,0.88
0.032338,-0.0796,0.7347,0.5059,0.90
0.034110,-0.0709,0.7406,0.5142,0.90
0.038450,-0.0635,0.7499,0.5248,0.92
0.038501,-0.0597,0.7572,0.5341,0.93
0.040845,-0.0597,0.7650,0.5472,0.94
0.042709,-0.0577,0.7709,0.5593,0.95
0.044848,-0.0543,0.7768,0.5646,0.96
0.050332,-0.0509,0.7797,0.5724,0.97
0.050425,-0.0504,0.7841,0.5792,0.98
0.050963,-0.0455,0.7851,0.5792,0.98
0.052856,-0.0421,0.7846,0.5826,0.98
0.056239,-0.0402,0.7876,0.5861,0.98
0.060515,-0.0383,0.7871,0.5861,0.98
0.060583,-0.0349,0.7876,0.5884,0.98
0.061248,-0.0358,0.7890,0.5933,0.99
0.063208,-0.0363,0.7895,0.5958,0.99
0.065927,-0.0334,0.7885,0.6016,0.99
0.067559,-0.0314,0.7876,0.6046,0.99
0.072747,-0.0319,0.7866,0.6075,0.99
0.072833,-0.0319,0.7851,0.6129,1.00
0.073989,-0.0309,0.7842,0.6241,1.00
0.075800,-0.0294,0.7842,0.6338,1.01
0.077928,-0.0284,0.7827,0.6450,1.01
0.083571,-0.0275,0.7818,0.6538,1.02
0.083656,-0.0245,0.7779,0.6611,1.02
0.084157,-0.0231,0.7735,0.6694,1.02
0.086830,-0.0216,0.7720,0.6719,1.02
0.088245,-0.0197,0.7691,0.6743,1.02
0.090287,-0.0182,0.7661,0.6748,1.02
0.094266,-0.0201,0.7656,0.6733,1.02
0.094415,-0.0211,0.7642,0.6729,1.02
0.096996,-0.0215,0.7622,0.6704,1.02
0.098552,-0.0225,0.7588,0.6612,1.01
0.105412,-0.0284,0.7544,0.6530,1.00
0.109267,-0.0303,0.7427,0.6301,0.97
0.111397,-0.0313,0.7407,0.6237,0.97
0.113101,-0.0308,0.7392,0.6169,0.96
0.116837,-0.0308,0.7373,0.6077,0.96
0.117226,-0.0274,0.7368,0.6013,0.95
0.119116,-0.0269,0.7349,0.5935,0.94
0.121566,-0.0230,0.7383,0.5857,0.94
0.123721,-0.0259,0.7393,0.5823,0.94
0.128551,-0.0279,0.7422,0.5798,0.94
0.132520,-0.0324,0.7568,0.5789,0.95
0.133879,-0.0343,0.7597,0.5803,0.96
0.139913,-0.0353,0.7670,0.5817,0.96
0.142348,-0.0328,0.7749,0.5792,0.97
0.144548,-0.0290,0.7763,0.5758,0.97
0.150836,-0.0222,0.7827,0.5773,0.97
0.154555,-0.0163,0.7866,0.5972,0.99
0.156566,-0.0104,0.7896,0.5986,0.99
0.161088,-0.0065,0.7935,0.6021,1.00
0.161154,-0.0051,0.7979,0.6064,1.00
0.162761,-0.0002,0.8018,0.6113,1.01
0.165223,0.0002,0.8048,0.6180,1.01
0.167093,0.0051,0.8082,0.6210,1.02
0.172315,0.0105,0.8111,0.6254,1.02
0.175208,0.0197,0.8205,0.6394,1.04
0.177652,0.0197,0.8239,0.6472,1.05
0.179257,0.0197,0.8258,0.6531,1.05
0.183319,0.0226,0.8263,0.6579,1.06
0.183889,0.0251,0.8253,0.6618,1.06
0.185378,0.0285,0.8258,0.6667,1.06
0.187679,0.0275,0.8253,0.6726,1.07
0.189849,0.0275,0.8239,0.6804,1.07
0.194516,0.0247,0.8209,0.6901,1.07
0.194599,0.0217,0.8205,0.6979,1.08
0.195843,0.0183,0.8166,0.7067,1.08
0.197834,0.0168,0.8126,0.7087,1.08
0.200180,0.0183,0.8087,0.7092,1.08
0.201981,0.0179,0.8019,0.7112,1.07
0.207126,0.0189,0.7956,0.7131,1.07
0.207194,0.0203,0.7882,0.7156,1.06
0.208352,0.0208,0.7799,0.7166,1.06
