# Target Sample Rate: 479 Hz
time,gFx,gFy,gFz,TgF
0.019926,-0.0523,0.5701,0.6979,0.90
0.025557,-0.0900,0.5548,0.4587,0.73
0.025622,-0.0924,0.5655,0.4640,0.74
0.026202,-0.0627,0.5812,0.4458,0.74
0.028514,-0.0691,0.5993,0.4609,0.76
0.030417,-0.0711,0.6091,0.4911,0.79
0.033265,-0.0701,0.6135,0.5135,0.80
0.034599,-0.0681,0.6223,0.5286,0.82
0.042626,-0.0686,0.6364,0.5383,0.84
0.044665,-0.0595,0.6906,0.6107,0.92
0.050668,-0.0580,0.6999,0.6307,0.94
0.050763,-0.0560,0.7127,0.6462,0.96
0.051126,-0.0541,0.7210,0.6662,0.98
0.053061,-0.0517,0.7263,0.6803,1.00
0.055485,-0.0497,0.7337,0.6973,1.01
0.057245,-0.0512,0.7395,0.7114,1.03
0.061680,-0.0502,0.7434,0.7276,1.04
0.061769,-0.0532,0.7449,0.7426,1.05
0.064176,-0.0521,0.7449,0.7563,1.06
0.067478,-0.0477,0.7390,0.7802,1.08
0.075349,-0.0487,0.7385,0.7914,1.08
0.078045,-0.0418,0.7092,0.8032,1.07
0.079938,-0.0369,0.6990,0.8057,1.07
0.085078,-0.0369,0.6922,0.8101,1.07
0.085180,-0.0369,0.6854,0.8097,1.06
0.086693,-0.0335,0.6751,0.8101,1.06
0.088603,-0.0310,0.6683,0.8073,1.05
0.096748,-0.0305,0.6619,0.8058,1.04
0.103578,-0.0212,0.6346,0.7903,1.01
0.113049,-0.0212,0.6336,0.7844,1.01
0.115117,-0.0212,0.6356,0.7391,0.98
0.118103,-0.0266,0.6385,0.7342,0.97
0.119632,-0.0266,0.6395,0.7249,0.97
0.121530,-0.0115,0.6307,0.6952,0.94
0.127813,-0.0427,0.6394,0.7152,0.96
0.131830,-0.0705,0.6442,0.7211,0.97
0.133801,-0.0725,0.6452,0.7148,0.97
0.140977,-0.0759,0.6447,0.7192,0.97
0.144654,-0.0700,0.6320,0.7329,0.97
0.145786,-0.0709,0.6296,0.7407,0.97
0.150031,-0.0700,0.6267,0.7475,0.98
0.150121,-0.0670,0.6247,0.7539,0.98
0.152087,-0.0665,0.6232,0.7573,0.98
0.154344,-0.0641,0.6227,0.7607,0.99
0.156258,-0.0621,0.6218,0.7651,0.99
0.162831,-0.0582,0.6203,0.7690,0.99
0.166599,-0.0480,0.6301,0.7791,1.00
0.173190,-0.0466,0.6335,0.7801,1.01
0.177004,-0.0392,0.6502,0.7805,1.02
0.178929,-0.0383,0.6541,0.7795,1.02
0.183841,-0.0388,0.6594,0.7810,1.02
0.187682,-0.0369,0.6741,0.7706,1.02
0.189250,-0.0350,0.6790,0.7643,1.02
0.194923,-0.0325,0.6810,0.7565,1.02
0.197555,-0.0389,0.6892,0.7433,1.01
0.199674,-0.0438,0.6956,0.7423,1.02
0.201788,-0.0389,0.6985,0.7267,1.01
0.206691,-0.0389,0.7009,0.7116,1.00
0.206794,-0.0385,0.7078,0.6998,1.00
0.207924,-0.0404,0.7136,0.6910,0.99
0.210636,-0.0444,0.7195,0.6827,0.99
0.212047,-0.0239,0.7044,0.6545,0.96
0.217801,-0.0102,0.7010,0.6194,0.94
0.217971,-0.0214,0.7117,0.6262,0.95
0.218394,-0.0356,0.7219,0.6428,0.97
0.220384,-0.0527,0.7312,0.6657,0.99
0.223042,-0.0654,0.7399,0.6891,1.01
0.224455,-0.0703,0.7414,0.6968,1.02
