# Target Sample Rate: 479 Hz
time,gFx,gFy,gFz,TgF
0.015707,-0.0183,0.8563,0.3861,0.94
0.021356,0.0070,0.8466,0.2164,0.87
0.021413,0.0128,0.8437,0.2242,0.87
0.026902,0.0231,0.8398,0.2549,0.88
0.030781,0.0314,0.8741,0.3430,0.94
0.032887,0.0298,0.8858,0.3644,0.96
0.037161,0.0186,0.9008,0.3810,0.98
0.037271,0.0123,0.9121,0.3970,0.99
0.039259,0.0005,0.9189,0.4102,1.01
0.041320,-0.0121,0.9218,0.4253,1.02
0.043277,-0.0223,0.9203,0.4346,1.02
0.047867,-0.0364,0.9173,0.4391,1.02
0.051997,-0.0711,0.9075,0.4280,1.01
0.053658,-0.0769,0.9016,0.4187,1.00
0.059166,-0.0837,0.8972,0.4026,0.99
0.062424,-0.0872,0.8850,0.3700,0.96
0.063907,-0.0847,0.8816,0.3656,0.96
0.066089,-0.0813,0.8772,0.3656,0.95
0.070248,-0.0779,0.8753,0.3666,0.95
0.070327,-0.0759,0.8767,0.3725,0.96
0.072529,-0.0686,0.8723,0.3788,0.95
0.074920,-0.0608,0.8743,0.3866,0.96
0.076450,-0.0520,0.8724,0.3934,0.96
0.082407,-0.0437,0.8734,0.3987,0.96
0.084732,-0.0184,0.8739,0.4270,0.97
0.086838,-0.0120,0.8759,0.4372,0.98
0.093611,-0.0047,0.8720,0.4479,0.98
0.097198,0.0173,0.8813,0.4810,1.00
0.099145,0.0197,0.8833,0.4849,1.01
0.103888,0.0207,0.8843,0.4878,1.01
0.103972,0.0241,0.8838,0.4912,1.01
0.105399,0.0236,0.8858,0.4902,1.01
0.107449,0.0217,0.8853,0.4883,1.01
0.109514,0.0212,0.8838,0.4878,1.01
0.116810,0.0202,0.8824,0.4849,1.01
0.119788,0.0124,0.8774,0.4669,0.99
0.121897,0.0114,0.8759,0.4610,0.99
0.126452,0.0104,0.8735,0.4586,0.99
0.126565,0.0095,0.8696,0.4532,0.98
0.128112,0.0109,0.8701,0.4498,0.98
0.130341,0.0070,0.8784,0.4430,0.98
0.132256,0.0031,0.8823,0.4425,0.99
0.138576,0.0041,0.8847,0.4376,0.99
0.142541,0.0056,0.8823,0.4278,0.98
0.144706,0.0007,0.8774,0.4294,0.98
0.148527,-0.0023,0.8774,0.4299,0.98
0.148770,-0.0023,0.8759,0.4255,0.97
0.150888,-0.0013,0.8720,0.4230,0.97
0.152933,-0.0071,0.8725,0.4260,0.97
0.155155,-0.0086,0.8739,0.4275,0.97
0.159216,-0.0086,0.8759,0.4231,0.97
0.159299,-0.0130,0.8803,0.4245,0.98
0.161262,-0.0154,0.8842,0.4240,0.98
0.163599,-0.0169,0.8866,0.4269,0.98
0.165383,-0.0169,0.8896,0.4269,0.99
0.171104,-0.0164,0.8886,0.4255,0.99
0.173785,-0.0311,0.8895,0.4357,0.99
0.175694,-0.0296,0.8900,0.4347,0.99
0.177752,-0.0286,0.8881,0.4313,0.99
0.181457,-0.0272,0.8881,0.4279,0.99
0.181982,-0.0291,0.8886,0.4279,0.99
0.183910,-0.0330,0.8885,0.4265,0.99
0.186173,-0.0330,0.8885,0.4231,0.98
0.188118,-0.0374,0.8929,0.4216,0.99
0.192156,-0.0389,0.8934,0.4216,0.99
0.192233,-0.0384,0.8934,0.4187,0.99
0.194255,-0.0369,0.8934,0.4182,0.99
0.196539,-0.0364,0.8905,0.4167,0.98
0.198494,-0.0379,0.8939,0.4153,0.99
0.203961,-0.0413,0.8954,0.4172,0.99
0.204023,-0.0379,0.8954,0.4182,0.99
0.204770,-0.0389,0.8968,0.4201,0.99
0.206759,-0.0355,0.8958,0.4181,0.99
0.208784,-0.0330,0.8968,0.4181,0.99
