# Target Sample Rate: 479 Hz
time,gFx,gFy,gFz,TgF
0.018263,-0.0820,0.8554,0.6583,1.08
0.026908,-0.0505,0.8736,0.5012,1.01
0.036217,-0.0515,0.8750,0.4061,0.97
0.044042,-0.0598,0.8594,0.3823,0.94
0.051623,-0.0612,0.8526,0.3702,0.93
0.054772,-0.0764,0.8506,0.3824,0.94
0.060977,-0.0768,0.8491,0.3960,0.94
0.063068,-0.0729,0.8442,0.4531,0.96
0.065349,-0.0695,0.8443,0.4716,0.97
0.071618,-0.0670,0.8433,0.4881,0.98
0.075777,-0.0553,0.8531,0.5295,1.01
0.077607,-0.0524,0.8565,0.5383,1.01
0.082515,-0.0524,0.8599,0.5447,1.02
0.085896,-0.0524,0.8643,0.5563,1.03
0.087908,-0.0499,0.8633,0.5549,1.03
0.093493,-0.0485,0.8643,0.5554,1.03
0.096302,-0.0417,0.8658,0.5495,1.03
0.098450,-0.0392,0.8653,0.5466,1.02
0.104779,-0.0378,0.8663,0.5417,1.02
0.108871,-0.0378,0.8604,0.5324,1.01
0.110691,-0.0383,0.8604,0.5319,1.01
0.115279,-0.0392,0.8609,0.5314,1.01
0.119568,-0.0383,0.8590,0.5383,1.01
0.121217,-0.0382,0.8585,0.5407,1.02
0.127089,-0.0363,0.8556,0.5436,1.01
0.129516,-0.0275,0.8453,0.5398,1.00
0.131732,-0.0241,0.8409,0.5378,1.00
0.136810,-0.0226,0.8390,0.5344,0.99
0.136882,-0.0206,0.8390,0.5315,0.99
0.137631,-0.0177,0.8366,0.5300,0.99
0.139599,-0.0162,0.8361,0.5305,0.99
0.141833,-0.0148,0.8356,0.5276,0.99
0.143771,-0.0128,0.8341,0.5256,0.99
0.147370,-0.0114,0.8322,0.5227,0.98
0.148068,-0.0114,0.8297,0.5198,0.98
0.150193,-0.0109,0.8268,0.5159,0.97
0.154612,-0.0089,0.8253,0.5057,0.97
0.160536,-0.0074,0.8244,0.4959,0.96
0.164816,-0.0123,0.8249,0.4813,0.96
0.166683,-0.0128,0.8244,0.4769,0.95
0.171249,-0.0139,0.8253,0.4764,0.95
0.174892,-0.0177,0.8253,0.4759,0.95
0.176940,-0.0177,0.8258,0.4784,0.95
0.182533,-0.0192,0.8253,0.4774,0.95
0.185334,-0.0221,0.8292,0.4789,0.96
0.187553,-0.0231,0.8297,0.4794,0.96
0.189365,-0.0241,0.8277,0.4808,0.96
0.193633,-0.0231,0.8272,0.4828,0.96
0.193721,-0.0216,0.8248,0.4838,0.96
0.195619,-0.0197,0.8258,0.4838,0.96
0.198164,-0.0182,0.8263,0.4862,0.96
0.199756,-0.0157,0.8258,0.4925,0.96
0.204409,-0.0157,0.8292,0.4964,0.97
0.204506,-0.0167,0.8327,0.5022,0.97
0.205991,-0.0168,0.8371,0.5057,0.98
0.208042,-0.0192,0.8380,0.5052,0.98
0.210010,-0.0226,0.8399,0.5032,0.98
0.216216,-0.0226,0.8409,0.5032,0.98
0.218658,-0.0246,0.8424,0.5013,0.98
0.220691,-0.0284,0.8414,0.5047,0.98
0.222475,-0.0333,0.8419,0.5091,0.98
0.226778,-0.0363,0.8424,0.5159,0.99
0.226873,-0.0402,0.8433,0.5174,0.99
0.231053,-0.0475,0.8467,0.5174,0.99
0.232806,-0.0524,0.8462,0.5189,0.99
0.238077,-0.0543,0.8472,0.5232,1.00
0.241079,-0.0646,0.8482,0.5296,1.00
0.243258,-0.0631,0.8487,0.5315,1.00
0.249045,-0.0636,0.8487,0.5306,1.00
0.251526,-0.0758,0.8632,0.5452,1.02
0.253838,-0.0889,0.8603,0.5350,1.02
0.255552,-0.0904,0.8628,0.5281,1.02
0.260720,-0.0933,0.8657,0.5262,1.02
0.260840,-0.0953,0.8696,0.5237,1.02
0.261862,-0.0953,0.8676,0.5218,1.02
0.263924,-0.0939,0.8681,0.5228,1.02
0.266116,-0.0914,0.8701,0.5252,1.02
0.271366,-0.0856,0.8745,0.5242,1.02
0.271461,-0.0827,0.8750,0.5227,1.02
0.272162,-0.0773,0.8774,0.5217,1.02
0.274279,-0.0720,0.8809,0.5203,1.03
0.276498,-0.0676,0.8804,0.5192,1.02
0.278403,-0.0617,0.8804,0.5168,1.02
0.282945,-0.0612,0.8838,0.5163,1.03
0.283045,-0.0578,0.8843,0.5129,1.02
0.284602,-0.0544,0.8867,0.5099,1.02
0.286948,-0.0519,0.8848,0.5104,1.02
0.288681,-0.0535,0.8853,0.5041,1.02
0.293648,-0.0496,0.8833,0.5021,1.02
0.293782,-0.0495,0.8804,0.4988,1.01
0.296285,-0.0485,0.8794,0.4983,1.01
0.297400,-0.0485,0.8775,0.4954,1.01
0.299473,-0.0471,0.8780,0.4914,1.01
0.304740,-0.0490,0.8770,0.4929,1.01
0.304836,-0.0485,0.8770,0.4875,1.00
0.305538,-0.0466,0.8784,0.4851,1.00
0.309618,-0.0501,0.8775,0.4807,1.00
0.311493,-0.0515,0.8789,0.4827,1.00
0.316114,-0.0505,0.8789,0.4836,1.00
0.320007,-0.0476,0.8843,0.4875,1.01
0.321747,-0.0447,0.8858,0.4855,1.01
0.326903,-0.0437,0.8868,0.4841,1.01
0.330056,-0.0349,0.8873,0.4743,1.01
0.332113,-0.0320,0.8839,0.4738,1.00
0.333962,-0.0300,0.8800,0.4748,1.00
0.338534,-0.0271,0.8795,0.4758,1.00
0.338634,-0.0266,0.8766,0.4845,1.00
0.340203,-0.0261,0.8736,0.4894,1.00
0.342358,-0.0232,0.8790,0.4870,1.01
0.344368,-0.0179,0.8834,0.4748,1.00
0.348946,-0.0168,0.8766,0.4679,0.99
0.349056,-0.0178,0.8664,0.4729,0.99
0.351034,-0.0149,0.8556,0.4792,0.98
0.352904,-0.0163,0.8542,0.4831,0.98
0.354601,-0.0134,0.8566,0.4817,0.98
0.359696,-0.0115,0.8585,0.4817,0.98
0.359827,-0.0120,0.8625,0.4812,0.99
0.361162,-0.0095,0.8649,0.4870,0.99
0.362921,-0.0085,0.8673,0.4933,1.00
0.365024,-0.0081,0.8683,0.4997,1.00
0.367088,-0.0061,0.8693,0.5035,1.00
0.372038,-0.0071,0.8698,0.5050,1.01
0.372136,-0.0076,0.8703,0.5069,1.01
0.373465,-0.0076,0.8703,0.5089,1.01
0.375462,-0.0071,0.8703,0.5094,1.01
0.377489,-0.0071,0.8683,0.5133,1.01
0.382738,-0.0066,0.8703,0.5143,1.01
0.382833,-0.0061,0.8732,0.5182,1.02
0.383659,-0.0046,0.8756,0.5206,1.02
0.386005,-0.0056,0.8771,0.5220,1.02
0.387781,-0.0042,0.8791,0.5245,1.02
0.393062,-0.0051,0.8815,0.5284,1.03
0.393134,-0.0046,0.8825,0.5284,1.03
0.394054,-0.0046,0.8825,0.5308,1.03
0.396035,-0.0061,0.8830,0.5352,1.03
0.398102,-0.0051,0.8839,0.5372,1.03
0.400360,-0.0042,0.8849,0.5372,1.04
0.404959,-0.0022,0.8844,0.5362,1.03
0.405042,-0.0032,0.8849,0.5342,1.03
0.406425,-0.0022,0.8849,0.5333,1.03
0.408701,-0.0008,0.8878,0.5347,1.04
0.410618,-0.0027,0.8898,0.5356,1.04
0.416772,-0.0023,0.8903,0.5366,1.04
0.418889,-0.0057,0.8918,0.5298,1.04
0.422059,-0.0047,0.8922,0.5273,1.04
0.427383,-0.0052,0.8947,0.5181,1.03
0.431377,-0.0037,0.8918,0.5201,1.03
0.433400,-0.0047,0.8927,0.5176,1.03
0.437985,-0.0057,0.8937,0.5196,1.03
0.441787,-0.0027,0.8947,0.5205,1.04
0.443882,-0.0018,0.8927,0.5205,1.03
0.450215,-0.0027,0.8918,0.5191,1.03
0.454607,0.0070,0.8908,0.5151,1.03
0.456314,0.0065,0.8884,0.5142,1.03
0.459912,0.0075,0.8879,0.5152,1.03
0.460460,0.0080,0.8879,0.5166,1.03
0.462475,0.0090,0.8879,0.5185,1.03
0.464918,0.0109,0.8869,0.5195,1.03
0.466595,0.0139,0.8860,0.5190,1.03
0.471858,0.0153,0.8864,0.5195,1.03
0.474984,0.0197,0.8850,0.5122,1.02
0.477052,0.0212,0.8845,0.5088,1.02
0.482796,0.0226,0.8840,0.5088,1.02
0.485388,0.0251,0.8781,0.5079,1.01
0.487627,0.0266,0.8772,0.5069,1.01
0.489419,0.0266,0.8747,0.5098,1.01
0.493849,0.0285,0.8757,0.5098,1.01
0.493951,0.0275,0.8757,0.5098,1.01
0.495666,0.0295,0.8767,0.5074,1.01
0.498165,0.0305,0.8767,0.5049,1.01
0.499742,0.0314,0.8737,0.5030,1.01
0.505351,0.0334,0.8728,0.5005,1.01
0.505467,0.0349,0.8714,0.5005,1.01
0.506042,0.0344,0.8704,0.5015,1.01
0.508350,0.0363,0.8689,0.5015,1.00
0.510551,0.0349,0.8684,0.5044,1.00
0.515650,0.0353,0.8670,0.5030,1.00
0.515722,0.0378,0.8650,0.5015,1.00
0.516344,0.0378,0.8631,0.5020,1.00
0.518339,0.0388,0.8616,0.5049,1.00
0.520722,0.0407,0.8601,0.5069,1.00
0.522627,0.0422,0.8587,0.5088,1.00
0.526058,0.0446,0.8572,0.5123,1.00
0.526740,0.0456,0.8557,0.5127,1.00
0.528917,0.0466,0.8528,0.5167,1.00
0.530886,0.0495,0.8528,0.5167,1.00
0.537648,0.0519,0.8479,0.5215,1.00
0.541227,0.0539,0.8455,0.5269,1.00
0.543439,0.0549,0.8426,0.5284,1.00
0.548771,0.0549,0.8426,0.5333,1.00
0.551468,0.0530,0.8386,0.5425,1.00
0.553879,0.0525,0.8372,0.5445,1.00
0.555633,0.0515,0.8367,0.5499,1.00
0.560103,0.0515,0.8357,0.5484,1.00
0.560163,0.0530,0.8343,0.5508,1.00
0.561946,0.0525,0.8362,0.5479,1.00
0.563975,0.0554,0.8372,0.5508,1.00
0.566047,0.0549,0.8386,0.5484,1.00
0.572738,0.0559,0.8396,0.5469,1.00
0.576705,0.0656,0.8412,0.5455,1.00
0.578402,0.0685,0.8426,0.5474,1.01
0.583007,0.0690,0.8460,0.5474,1.01
0.583099,0.0729,0.8504,0.5498,1.02
0.584637,0.0754,0.8519,0.5459,1.01
0.586717,0.0759,0.8514,0.5449,1.01
0.588728,0.0788,0.8543,0.5400,1.01
0.593480,0.0783,0.8548,0.5376,1.01
0.593550,0.0773,0.8563,0.5342,1.01
0.595014,0.0807,0.8597,0.5317,1.01
0.597162,0.0895,0.8588,0.5248,1.01
0.599489,0.0953,0.8598,0.5200,1.01
0.604408,0.1002,0.8588,0.5190,1.01
0.607738,0.0968,0.8651,0.5243,1.02
